demand_key,status,price
1023422|2026-06-01,CALCULATED,1044.4475
1023511|2026-06-01,FORMULA_NOT_FOUND,
1023520|2026-06-01,FORMULA_NOT_FOUND,
1023654|2026-06-01,CALCULATED,102200.0
1023656|2026-06-01,CALCULATED,121180.0
1023729|2026-06-01,CALCULATED,99440.6
1023900|2026-06-01,FORMULA_NOT_FOUND,
1023904|2026-06-01,CALCULATED,99440.6
1023913|2026-06-01,FORMULA_NOT_FOUND,
1023925|2026-06-01,FORMULA_NOT_FOUND,
1023949|2026-06-01,FORMULA_NOT_FOUND,
1023977|2026-06-01,SPOT_NOT_CALCULATED,
1024026|2026-06-01,COMPONENT_ERROR,
1024033|2026-06-01,FORMULA_NOT_FOUND,
1024237|2026-06-01,COMPONENT_ERROR,
1024245|2026-06-01,SPOT_NOT_CALCULATED,
1024260|2026-06-01,CALCULATED,121180.0
1024316|2026-06-01,COMPONENT_ERROR,
1024317|2026-06-01,COMPONENT_ERROR,
1024318|2026-06-01,COMPONENT_ERROR,
1024319|2026-06-01,COMPONENT_ERROR,
1024335|2026-06-01,SPOT_NOT_CALCULATED,
1024350|2026-06-01,FORMULA_NOT_FOUND,
1024433|2026-06-01,SPOT_NOT_CALCULATED,
1024485|2026-06-01,SPOT_NOT_CALCULATED,
1024496|2026-06-01,COMPONENT_ERROR,
1024531|2026-06-01,COMPONENT_ERROR,
1024534|2026-06-01,CALCULATED,114406.33738226058
1024549|2026-06-01,SPOT_NOT_CALCULATED,
1024566|2026-06-01,COMPONENT_ERROR,
1024567|2026-06-01,COMPONENT_ERROR,
1024568|2026-06-01,FORMULA_NOT_FOUND,
1024589|2026-06-01,CALCULATED,102992.05
1024640|2026-06-01,FORMULA_NOT_FOUND,
1024686|2026-06-01,CALCULATED,1044.4475
1024700|2026-06-01,CALCULATED,1044.4475
1024701|2026-06-01,CALCULATED,1044.4475
1024704|2026-06-01,CALCULATED,1044.4475
1024706|2026-06-01,CALCULATED,1044.4475
1024822|2026-06-01,FORMULA_NOT_FOUND,
1024837|2026-06-01,FORMULA_NOT_FOUND,
1024856|2026-06-01,FORMULA_NOT_FOUND,
1025044|2026-06-01,FORMULA_NOT_FOUND,
1025129|2026-06-01,FORMULA_NOT_FOUND,
1025420|2026-06-01,FORMULA_NOT_FOUND,
1025449|2026-06-01,FORMULA_NOT_FOUND,
1025488|2026-06-01,CALCULATED,1044.4475
1025727|2026-06-01,FORMULA_NOT_FOUND,
1025736|2026-06-01,CALCULATED,123370.0
1025752|2026-06-01,FORMULA_NOT_FOUND,
1025763|2026-06-01,FORMULA_NOT_FOUND,
1025820|2026-06-01,FORMULA_NOT_FOUND,
1025847|2026-06-01,CALCULATED,123370.0
1025942|2026-06-01,COMPONENT_ERROR,
1025943|2026-06-01,COMPONENT_ERROR,
1026046|2026-06-01,CALCULATED,104390.0
1026054|2026-06-01,CALCULATED,99440.6
1026058|2026-06-01,CALCULATED,99440.6
1026255|2026-06-01,CALCULATED,74158.99025236511
1026399|2026-06-01,SPOT_NOT_CALCULATED,
1026456|2026-06-01,FORMULA_NOT_FOUND,
1026488|2026-06-01,FORMULA_NOT_FOUND,
1026503|2026-06-01,FORMULA_NOT_FOUND,
1026608|2026-06-01,FORMULA_NOT_FOUND,
1026699|2026-06-01,CALCULATED,102992.05
1026703|2026-06-01,CALCULATED,99440.6
1026805|2026-06-01,FORMULA_NOT_FOUND,
1026839|2026-06-01,CALCULATED,123370.0
1026840|2026-06-01,CALCULATED,121180.0
1026841|2026-06-01,CALCULATED,121180.0
1026842|2026-06-01,CALCULATED,121180.0
1026843|2026-06-01,CALCULATED,121180.0
1026927|2026-06-01,SPOT_NOT_CALCULATED,
1027294|2026-06-01,COMPONENT_ERROR,
1027442|2026-06-01,CALCULATED,1044.4475
