"Формула","Номер терма в формуле","Вид условий","Имя переменной","Действительно с","Действительно по","Тип фиксированного терма","Значение","Валюта","Имя котировки","Вид котировки","Правило расчета","Правило опред. периода: валютный курс","Прав. опред. периода","Вид расчета терма","Фактор 1","Фактор 2","Происхождение котировки"
"Z900021769","10","ZTRM","Q","2000-01-01 00:00:00","2025-12-31 23:59:59","1","","","SPOT FOB NEASIA_02","AVR","1","YC102","YQ100","2","0","0","IA"
"Z900021769","30","ZTRM","L","2000-01-01 00:00:00","2025-12-31 23:59:59","H","21.9","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","50","ZTRM","CUR_$","2000-01-01 00:00:00","2025-12-31 23:59:59","5","","","ZF0000000000000002","Z0001","1","YC102","YC102","2","0","0","ZZ"
"Z900021769","60","ZTRM","N","2000-01-01 00:00:00","2025-12-31 23:59:59","A","0.876","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","100","ZTRM","D1","2000-01-01 00:00:00","2025-12-31 23:59:59","E","3650","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","110","ZTRM","D2","2000-01-01 00:00:00","2025-12-31 23:59:59","E","5110","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","130","ZTRM","F","2000-01-01 00:00:00","2025-12-31 23:59:59","B","255.5","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","140","ZTRM","Q1","2000-01-01 00:00:00","2025-12-31 23:59:59","1","","","TURKEY_3","AV","1","YC102","YQ100","2","0","0","CO"
"Z900021769","150","ZTRM","L1","2000-01-01 00:00:00","2025-12-31 23:59:59","H","21.9","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","160","ZTRM","F1","2000-01-01 00:00:00","2025-12-31 23:59:59","B","116.8","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","170","ZTRM","05","2000-01-01 00:00:00","2025-12-31 23:59:59","H","0.365","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","180","ZTRM","09","2000-01-01 00:00:00","2025-12-31 23:59:59","H","0.657","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","200","ZTRM","X","2000-01-01 00:00:00","2025-12-31 23:59:59","H","0.73","","","","1","YC102","YQ100","2","0","0",""
"Z900021769","210","ZTRM","ETPRICE","2000-01-01 00:00:00","2025-12-31 23:59:59","H","121691","","","","1","YC102","YQ100","2","0","0",""
"Z900020975","10","ZTRM","CFR_TUR_CURRENT","2000-01-01 00:00:00","2026-12-20 23:59:59","1","","","CFR TURKEYMEORIG03","LOW","1","YC100","YQ100","2","0","0","IE"
"Z900020975","20","ZTRM","PREMIUM","2000-01-01 00:00:00","2026-12-20 23:59:59","B","","","","","1","YC100","YQ100","2","0","0",""
"Z900020975","30","ZTRM","DISCOUNT","2000-01-01 00:00:00","2026-12-20 23:59:59","E","0.7081","","","","1","YC100","YQ100","2","0","0",""
"Z900020995","10","ZTRM","CFR_TUR_CURRENT","2000-01-01 00:00:00","2026-12-20 23:59:59","1","","","SPOT CFR TURKEY_05","LOW","1","YC100","YQ100","2","0","0","IE"
"Z900020995","20","ZTRM","PREMIUM","2000-01-01 00:00:00","2026-12-20 23:59:59","B","","","","","1","YC100","YQ100","2","0","0",""
"Z900020995","30","ZTRM","DISCOUNT","2000-01-01 00:00:00","2026-12-20 23:59:59","E","0.7081","","","","1","YC100","YQ100","2","0","0",""
"Z900020961","10","ZTRM","CFR_TUR_CURRENT","2000-01-01 00:00:00","2026-12-20 23:59:59","1","","","SPOT CFR TURKEY_06","LOW","1","YC100","YQ100","2","0","0","IE"
