"Ключ формулы","Формула","Подгруппа материалов","Деловой партнер","""Действительно с"" - метка врем. объекта","Метка времени ""Действительно по""","Дата создания","Неактивна","Тип цены","ВалютаДокумента","Материал","client_id","client_name"
"Z430000104","RND_X ( ( ( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC ) )","MT00000234","81148","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-11-27 00:00:00","","2","CNY","","CL-10590","Клиент 590"
"Z430000107","RND_X ( ( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC )","MT00000234","176816","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-11-27 00:00:00","","2","CNY","","CL-10215","Клиент 215"
"Z430000110","( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC","MT00000234","302837","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-17 00:00:00","","2","CNY","","CL-10399","Клиент 399"
"Z430000111","( CFR_CHINA - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC","MT00000234","302837","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-17 00:00:00","","2","CNY","","CL-10399","Клиент 399"
"Z430000112","( ( CFR_CHINA - DISCOUNT ) * DUTY * CUR_$_¥_PBC * VAT + PREMIUM ) / VAT","","81383","2026-03-01 00:00:00","2027-02-28 00:00:00","2025-12-17 00:00:00","","2","CNY","1353715","CL-10592","Клиент 592"
"Z430000113","( ( CFR_CHINA - DISCOUNT ) * DUTY * CUR_$_¥_PBC * VAT + PREMIUM ) / VAT","","91442","2026-01-01 00:00:00","2026-12-31 00:00:00","2025-12-17 00:00:00","","2","CNY","1353711","CL-10608","Клиент 608"
"Z430000129","( SCI / 1_13 / 1_02 - 1_1 ) * D","","302637","2026-02-24 00:00:00","2027-04-30 00:00:00","2026-03-03 00:00:00","","2","CNY","685710","CL-10396","Клиент 396"
"Z430000133","( STR20 - RMB700 ) / 1_13 * VAT","MT00000034","309269","2026-04-01 00:00:00","2027-03-31 00:00:00","2026-04-30 00:00:00","","1","CNY","","CL-10415","Клиент 415"
"Z430000142","( CFR_CHINA - DISCOUNT ) * DUTY * CUR_$_¥_PBC + PREMIUM","","81383","2026-03-01 00:00:00","2027-02-28 00:00:00","2026-05-13 00:00:00","","2","CNY","1353715","CL-10592","Клиент 592"
"Z430000143","( CFR_CHINA - DISCOUNT ) * DUTY * CUR_$_¥_PBC + PREMIUM","","91442","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-05-13 00:00:00","","2","CNY","1353711","CL-10608","Клиент 608"
"Z430000144","RND_X ( ( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC )","MT00000234","81148","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-05-13 00:00:00","","2","CNY","","CL-10590","Клиент 590"
"Z430000148","( ( CFR_CHINA - DISCOUNT ) * DUTY * CUR_$_¥_PBC * VAT + PREMIUM ) / VAT","","91442","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-05-14 00:00:00","","2","CNY","1353711","CL-10608","Клиент 608"
"Z430000160","STR20 / 1_13 * VAT","MT00000034","317781","2026-04-24 00:00:00","2027-02-28 00:00:00","2026-05-15 00:00:00","","1","CNY","","CL-10430","Клиент 430"
"Z430000168","( ( CFR_CHINA - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC ) / VAT","MT00000234","302837","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-05-18 00:00:00","","2","CNY","","CL-10399","Клиент 399"
"Z430000169","( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC","MT00000234","302837","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-05-18 00:00:00","","2","CNY","","CL-10399","Клиент 399"
"Z430000177","RND_X ( ( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC )","MT00000234","176816","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-06-08 00:00:00","","2","CNY","","CL-10215","Клиент 215"
"Z430000179","( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC","MT00000234","302837","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-06-09 00:00:00","","2","CNY","","CL-10399","Клиент 399"
"Z430000185","RND_X ( ( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC )","MT00000234","81148","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-06-26 00:00:00","","2","CNY","","CL-10590","Клиент 590"
"Z430000186","RND_X ( ( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC )","MT00000234","176816","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-06-26 00:00:00","","2","CNY","","CL-10215","Клиент 215"
"Z430000189","( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC","MT00000234","68721","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-06-26 00:00:00","","2","CNY","","CL-10573","Клиент 573"
"Z430000190","( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC","MT00000234","302837","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-06-26 00:00:00","","2","CNY","","CL-10399","Клиент 399"
"Z430000195","( ( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC ) / VAT","MT00000234","68721","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-06-29 00:00:00","","2","CNY","","CL-10573","Клиент 573"
"Z430000196","( ( CFR_CHINA - DISCOUNT - 7 / 365 * 30 * 8 * CFR_CHINA ) * CUR_$_¥_PBC ) / VAT","MT00000234","68721","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-07-01 00:00:00","","2","CNY","","CL-10573","Клиент 573"
"Z430000198","( ( CFR_CHINA - DISCOUNT ) * DUTY * CUR_$_¥_PBC * VAT + PREMIUM ) / VAT","","91442","2026-01-01 00:00:00","2026-12-31 00:00:00","2026-07-03 00:00:00","","2","CNY","1353711","CL-10608","Клиент 608"
"Z900000392","( ( ( ( SPOT * D + F ) * AG * CD * CUR + T ) * RK ) + T1 ) * VAT","","9999","2018-01-01 00:00:00","2026-12-31 00:00:00","2020-02-12 00:00:00","","A1","RUB","721362","CL-10621","Клиент 621"
"Z900000546","RND_X ( ( SPOT_FOB_CHINA_01 * D + F ) * CD * CUR_$ + T + T1 + T2 , 2 ) * VAT + I","","8494","2021-01-01 00:00:00","2026-12-31 00:00:00","2020-02-28 00:00:00","","A1","RUB","721362","CL-10599","Клиент 599"
"Z900005590","( RND_X ( ( SPOT_FOB_CHINA_01 + F ) * CD * CUR_$ + T - ( D * CUR_$ ) , 2 ) + T1 ) * VAT + I","","9999","2018-01-01 00:00:00","2026-12-31 00:00:00","2021-10-27 00:00:00","","A1","RUB","407335","CL-10621","Клиент 621"
"Z900007494","( RND_X ( ( ICIS + D ) * CD * K + T , 2 ) * X + RND_X ( ( P / O + 40000 ) * Y , 2 ) + T1 ) * VAT + L","","286609","2022-04-01 00:00:00","2026-12-31 00:00:00","2022-04-18 00:00:00","","A1","RUB","1602311","CL-10336","Клиент 336"
"Z900009413","RND_X ( ( SPOT_FOB_CHINA_01 * D + F ) * CD * CUR_$ + T , 2 ) * VAT + ( ( T1 + T2 ) * VAT ) + K","","9999","2018-01-01 00:00:00","2026-12-31 00:00:00","2022-11-01 00:00:00","","A1","RUB","1602311","CL-10621","Клиент 621"
"Z900010551","RND_X ( ( RND_X ( ( RND_X ( ( RND_X ( ( CIF_ARA - DIF - P ) * K$ - T + T1 , 2 ) - T2 ) * K1 + PROC + T3 , 2 ) - T4 ) * K2 + PROC1 + T5 , 2 ) - T6 ) * K3 + T8 + ( RND_X ( RND_X ( ( RND_X ( ( CIF_ARA - DIF - P ) * K$ - T + T1 , 2 ) - T2 ) * K1 + PROC + T3 ,","","15352","2019-10-31 00:00:00","2029-10-31 00:00:00","2023-01-27 00:00:00","","2","RUB","401079","CL-10137","Клиент 137"
"Z900010552","RND_X ( ( RND_X ( ( RND_X ( ( CIF_ARA - DIF - P ) * Q - T + T1 , 2 ) - T1 ) * K1 + PROC + TI , 2 ) - TI ) * K2 + PROC1 + T2 , 2 ) * VAT","","15352","2019-10-31 00:00:00","2029-10-31 00:00:00","2023-01-27 00:00:00","","2","RUB","1184558","CL-10137","Клиент 137"
"Z900010553","RND_X ( RND_X ( ( RND_X ( ( CIF_ARA - DIF - P ) * Q - T + T1 , 2 ) - T1 ) * K1 + PROC + TI , 2 ) * C1 + RND_X ( ( CIF_ARA - DIF - P ) * Q - T + T1 , 2 ) * ( C - C1 ) , 2 ) * VAT","","15352","2019-10-31 00:00:00","2029-10-31 00:00:00","2023-01-27 00:00:00","","2","RUB","337647","CL-10137","Клиент 137"
"Z900011421","( ( ( ICIS - D + F ) * CD * CUR_$ + T ) * X + ( ( P / O + 37000 ) * Y ) ) * VAT + I","","9999","2018-01-01 00:00:00","2027-12-31 00:00:00","2023-02-28 00:00:00","","1","RUB","1602311","CL-10621","Клиент 621"
"Z900011633","( ( ( ICIS - D + F ) * CD * CUR_$ + T ) * X + ( ( P / O + 37000 ) * Y ) ) * VAT + L","","9999","2021-03-17 00:00:00","2027-12-31 00:00:00","2023-03-27 00:00:00","","1","RUB","1203330","CL-10621","Клиент 621"
"Z900011859","RND_X ( ( ( ( CIF_ARA - DIF - P ) * Q - T2 ) * KR + PER + T1 ) , 2 ) * VAT + Z","","143617","2017-04-17 00:00:00","2027-04-17 00:00:00","2023-03-31 00:00:00","","A1","RUB","337647","CL-10113","Клиент 113"
"Z900013028","RND_X ( RND_X ( ( SPOT_FOB_CHINA_01 * AG * D + F ) * CD * CUR_$ + T , 2 ) * X + ( ( P / O + 40000 ) * Y * D2 ) + T1 , 2 ) * VAT","","150673","2018-01-09 00:00:00","2029-12-31 00:00:00","2023-06-27 00:00:00","","A1","RUB","1203330","CL-10133","Клиент 133"
