"Происхождение котировки","Вид котировки","Имя котировки","ID в озере данных","ID2 в озере данных","Валюта котировки"
"AN","","CIF ARA (LARGE)_02","17980750001","3600600","USD"
"AR","","BENZENE FCA","294380000","294380000","RUB"
"AR","","TOLUENE FCA","226000000","226000000","RUB"
"BL","","TSR20","5978750127","MQ_000021","USD"
"CC","","EXW_02","68729","e7adf3c5-60da-497b-a112-81dbf17d5fca","CNY"
"CC","","EXW_05","1967500537","439bf5d1-483b-4c36-b0e5-149b12c5f43e","CNY"
"CC","","EXW_11","","d6b2faf9-7096-45a6-ab99-abba41ef875b","CNY"
"CO","","EUROPE_1","","MQ_000029","USD"
"CO","","HONGKONG_1","","MQ_000028","USD"
"CO","","S. KOREA_1","","MQ_000031","USD"
"CO","","S.KOREA_1","","MQ_000030","USD"
"CO","","TURKEY_3","","MQ_000032","USD"
"IA","","&SPOTCFR NEASIA_05","938751945","4001012","USD"
"IA","","CFR CHINA_03","938750366","4021038","USD"
"IA","","CFR CHINA_04","938750747","4021086","USD"
"IA","","CFR CHINA_05","938750961","4021116","USD"
"IA","","CFR CMP SPOT_03","938751160","4086010","USD"
"IA","","DEL CHINA E_04","24764500007","4071066","USD"
"IA","","EXW CHINA N_06","938750111","4053014","CNY"
"IA","","EXW CHINA S_06","938750914","4702022","CNY"
"IA","","SPOT CFR CHINA_03","938751411","4023028","USD"
"IA","","SPOT CFR CHINA_04","938750514","4020028","USD"
"IA","","SPOT CFR CHINA_08","938752118","4901005","USD"
"IA","","SPOT CFR CHINA_12","938751211","4005028","USD"
"IA","","SPOT CFR CMP_06","938752266","4022134","USD"
"IA","","SPOT CFR CMP_07","938752028","4022142","USD"
"IA","","SPOT CFR CMP_08","938751962","4022144","USD"
"IA","","SPOT CFR CMP_09","938750078","4022129","USD"
"IA","","SPOT CFR CMP_11","24002500334","4032020","USD"
"IA","","SPOT CFR CMP_12","938751651","4022235","USD"
"IA","","SPOT CFR EASIA_02","938751419","4031040","USD"
"IA","","SPOT CFR NEASIA_03","938750350","4002020","USD"
"IA","","SPOT CFR NEASIA_06","938750750","4003011","USD"
"IA","","SPOT DEL CHINA","938751260","4071068","CNY"
"IA","","SPOT DEL CHINA_1","24764500029","4071068","USD"
"IA","","SPOT FOB CHINA_01","938750478","4160014","USD"
"IA","","SPOT FOB CHINA_03","15877500061","8603462","USD"
"IA","","SPOT FOB NEASIA_02","938750672","4079064","USD"
"IE","","CFR TURKEYMEORIG01","938751759","8602417","USD"
"IE","","CFR TURKEYMEORIG03","938750601","4021350","USD"
"IE","","CFR TURKEYMEORIG05","938750232","4022260","USD"
"IE","","SPOT CFR TURKEY_05","938751046","8602438","USD"
"IE","","SPOT CFR TURKEY_06","938752035","4022258","USD"
"JL","","EXW CHINA_01","","MQ_000022","CNY"
"JL","","SOUTHWEST CHINA","","MQ_000026","CNY"
"MR","","CPT MOSCOW_109","5662000053","PSORUP018","RUB"
"MR","","CPT MOSCOW_110","5661500014","PSORUP011","RUB"
"MR","","CPT MOSCOW_112","5662250008","PSORUP015","RUB"
"PA","","CFR CHINA_03","1316251094","AAHQU00","USD"
"PA","","CFR CHINA_04","1316001136","AAEZG00","USD"
"PA","","CFR CHINA_05","1315751069","AAOTO00","USD"
"PN","","BRG FOB RDAM_02","25208501482","AAQZV00","USD"
"PN","","BRG FOB RDAM_04","25209751723","PUAAP00","USD"
"PN","","FOB RDAM/ARA","26312750095","PHALA00","USD"
"PN","","NWE FOB ARA_02","25209502695","PMAAC00","USD"
"SC","","CHINA_01","26231250046","b139aed8-59fc-408a-9ed3-e14e4937ed41","CNY"
"SC","","CHINA_03","15321000018","603b8132-b083-4e94-91ef-eb0db4cbf84e","CNY"
"SC","","CHINA_07","15321000011","30c40ff9-386f-4bf0-b4fb-4da193356da2","CNY"
"SC","","CHINA_12","15321750024","f90993f1-c60a-46fe-afec-e35783f8bb2d","CNY"
"SP","","ENIP_RUS_DTL","","ENIP_RUS_DTL","RUB"
"SP","","ENIP_RUS_PRM","","ENIP_RUS_PRM","RUB"
"SP","","ENIP_RUS_TRD","","ENIP_RUS_TRD","RUB"
"SP","","ERIP_MOS_MZT_01","6749250001","ERIP_MOS_MZT","RUB"
"SP","","ERIP_SAM_MZT","","ERIP_SAM_MZT","RUB"
"SP","","ERIS_MOS_MZT","6750000002","ERIS_MOS_MZT","RUB"
"SP","","ERIS_SAM_REG","","ERIS_SAM_REG","RUB"
"SP","","ETIP_SIB_SUG _01","6618000001","ETIP_SIB_SUG","RUB"
"SP","","PCX1BPI037F","","PCX1BPI037F","RUB"
"SP","","REG-92 MOSCOW_02","6619750001","ERIP_MOS_REG","RUB"
"SP","","REG-92 MOSCOW_03","6619250001","ERIS_MOS_REG","RUB"
