"quote_type","quote_name","tech_quote_name","quote_code","quote_date","quote_currency","quote_val","tech_load_ts"
"ОФ","Acrylic Acid Glacial DEL E China","acrylic acid glacial del e china","24764500007","2026-04-01 00:00:00","USD","1803.06727","2026-04-17 16:01:03"
"ОФ","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-04-01 00:00:00","EUR","2052.26375","2026-04-17 16:01:03"
"ОФ","LDPE CFR Turkey","ldpe cfr turkey","938750908","2026-05-01 00:00:00","USD","1805","2026-05-18 11:00:45"
"ОФ","DEG CFR China","deg cfr china","938750381","2026-04-01 00:00:00","USD","910","2026-04-17 16:01:03"
"ОФ","Butadiene CFR NE Asia","butadiene cfr ne asia","938750750","2026-04-01 00:00:00","USD","2424.56663","2026-04-17 16:01:03"
"ОФ","MEG CFR China","meg cfr china","938750840","2026-04-01 00:00:00","USD","656.25","2026-04-17 16:01:03"
"ОФ","PPB CFR China","ppb cfr china","938750078","2026-05-01 00:00:00","USD","1330","2026-05-18 11:00:45"
"ОФ","PPB CFR China","ppb cfr china","938750078","2026-04-01 00:00:00","USD","1342.43305","2026-04-17 16:01:03"
"ОФ","IsoButanol CFR E Asia","isobutanol cfr e asia","938750627","2026-04-01 00:00:00","USD","1100.36207","2026-04-17 16:01:03"
"ОФ","LLDPE CFR China","lldpe cfr china","938751847","2026-04-01 00:00:00","USD","995","2026-04-17 16:01:03"
"ОФ","LDPE CFR China","ldpe cfr china","938750366","2026-05-01 00:00:00","USD","1380","2026-05-18 11:00:45"
"ОФ","LLDPE CFR Turkey","lldpe cfr turkey","938750572","2026-05-01 00:00:00","USD","1660","2026-05-18 11:00:45"
"ОФ","PPH CFR Turkey","pph cfr turkey","938752035","2026-05-01 00:00:00","USD","1525","2026-05-18 11:00:45"
"ОФ","HDPE Pipe FD NWE","hdpe pipe fd nwe","938750601","2026-07-01 00:00:00","EUR","1450","2026-07-14 11:01:10"
"ОФ","Methyl Acrylate DEL E China","methyl acrylate del e china","24764500029","2026-04-01 00:00:00","USD","2017.54394","2026-04-17 16:01:03"
"ОФ","Ethylene CFR NE Asia","ethylene cfr ne asia","938751945","2026-04-01 00:00:00","USD","1370","2026-04-17 16:01:03"
"ОФ","LDPE CFR Iran","ldpe cfr iran","938750961","2026-04-01 00:00:00","USD","1898.8775","2026-04-17 16:01:03"
"ОФ","Polyols Flexible Slabstock Bulk DEL China","polyols flexible slabstock bulk del china","938751094","2026-04-01 00:00:00","USD","1773.67194","2026-04-17 16:01:03"
"ОФ","Acrylic Acid Glacial DEL E China","acrylic acid glacial del e china","24764500007","2026-05-01 00:00:00","USD","1367.22938","2026-05-18 11:00:45"
