"row_id","period","customer_asv","customer","mtr_nsi_code","mtr_nsi_name","contract","currency","forecast","country","region","market","client_id","client_name"
"1023422","2026-06-01 00:00:00","354065","CHEMCORE COMMODITIES FZCO","226814","Полипропилен, марка PP H030 GP/3, ТУ 2211-006-93911504-2015","Formula","USD","1572.5","Turkey","Ankara","Турция","CL-10328","Клиент 328"
"1023511","2026-06-01 00:00:00","16968","ООО ""КОНТИ""","226814","Полипропилен, марка PP H030 GP/3, ТУ 2211-006-93911504-2015","Formula","RUB","295.5","Russian Federation","Altay Territory","Россия","CL-10126","Клиент 126"
"1023520","2026-06-01 00:00:00","110026","ООО ""НОВА РОЛЛ - СТРЕЙЧ""","1382340","Полиэтилен, марка HD12443 FE ТУ 20.16.10-250-00203335-2022","Formula","RUB","968","Russian Federation","The Nizhniy Novgorod","Россия","CL-10008","Клиент 008"
"1023654","2026-06-01 00:00:00","6553","ООО ""ДИО ПЛАСТ""","1380972","Полипропилен, марка PP I013 GP/5 ТУ 20.16.51-136-05766801-2015","Formula","RUB","40.5","Belarus","Mogilevskaya oblast","Belarus","CL-10364","Клиент 364"
"1023656","2026-06-01 00:00:00","157957","ООО ""ПРИОРИТЕТ ГРУПП""","1353711","Полиэтилен 15303-003, пленочный, сорт высший, ГОСТ 16337-2022","Formula","RUB","20.25","Russian Federation","The Ryazan Area","Россия","CL-10101","Клиент 101"
"1023729","2026-06-01 00:00:00","6553","ООО ""ДИО ПЛАСТ""","1005972","Полиэтилен, марка HD 03580 SB ТУ 20.16.10-006-81060768-2018","Formula","RUB","20.25","Russian Federation","Krasnodar Territory","Россия","CL-10364","Клиент 364"
"1023900","2026-06-01 00:00:00","73084","ИП КОЗЛОВЦЕВ ВЛАДИМИР АРСЕНТЬЕВИЧ","1392438","Полиэтилен 15313-003, высший сорт (ТП) ГОСТ 16337-2022","Formula","RUB","135","Russian Federation","The Volgograd Area","Россия","CL-10379","Клиент 379"
"1023904","2026-06-01 00:00:00","6553","ООО ""ДИО ПЛАСТ""","1005972","Полиэтилен, марка HD 03580 SB ТУ 20.16.10-006-81060768-2018","Formula","RUB","20.25","Russian Federation","The Moscow Area","Россия","CL-10364","Клиент 364"
"1023913","2026-06-01 00:00:00","16968","ООО ""КОНТИ""","189539","Полипропилен, марка PP H030 GP/1 ТУ 2211-112-70353562-2015","Formula","RUB","90","Russian Federation","Altay Territory","Россия","CL-10126","Клиент 126"
"1023925","2026-06-01 00:00:00","11543","ООО ""ФАРМПЛАСТ""","226814","Полипропилен, марка PP H030 GP/3, ТУ 2211-006-93911504-2015","Formula","RUB","202.5","Russian Federation","The Samara Area","Россия","CL-10017","Клиент 017"
